City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
342,Brewster,41.3973,-73.6171,70.36,89,0,4.61,clear sky
343,Berbera,10.4396,45.0143,88.68,61,38,2.46,scattered clouds
344,Yambio,4.5721,28.3955,67.23,97,100,1.21,overcast clouds
345,Kostino,58.9097,53.2691,42.6,97,98,4.54,overcast clouds
346,Sinazongwe,-17.2614,27.4618,78.98,43,92,2.77,overcast clouds
347,Paita,-5.0892,-81.1144,63.18,83,29,16.46,scattered clouds
348,Caetes,-8.7731,-36.6225,61.88,93,10,6.98,clear sky
349,Pangnirtung,66.1451,-65.7125,33.01,72,98,1.92,overcast clouds
350,Sistranda,63.7256,8.834,49.96,63,100,3.04,overcast clouds
351,Neryungri,56.6709,124.6491,41.05,72,99,2.51,overcast clouds
352,Nchelenge,-9.3451,28.734,74.08,51,15,3.87,few clouds
353,Mattawa,46.7379,-119.9028,67.01,27,80,4.45,broken clouds
354,Amol,36.4696,52.3507,73.2,62,0,3.87,clear sky
355,Sao Joao Da Barra,-21.6403,-41.0511,70.34,93,92,7.34,overcast clouds
356,Coahuayana,18.7333,-103.6833,75.94,94,100,1.45,overcast clouds
357,Ngunguru,-35.6167,174.5,60.17,75,6,10.58,clear sky
358,Copiapo,-27.3667,-70.3333,47.89,40,0,2.39,clear sky
359,Amahai,-3.3333,128.9167,80.71,75,100,2.1,overcast clouds
360,Dubbo,-32.25,148.6167,68.13,68,75,6.91,broken clouds
361,Bandarban,22.1965,92.2262,83.91,92,93,2.13,overcast clouds
362,Malinovoye Ozero,51.6753,79.7825,60.12,41,0,4.7,clear sky
363,Adre,13.4667,22.2,74.5,67,64,0.83,broken clouds
364,Cordoba,-31.4135,-64.1811,45.75,84,0,4.61,clear sky
365,Liuzhou,24.3126,109.3892,84.06,58,25,5.75,scattered clouds
366,Eureka,40.8021,-124.1637,63.19,84,98,1.99,overcast clouds
367,Tsiroanomandidy,-18.7667,46.0333,65.53,57,99,4.18,overcast clouds
368,Port-Gentil,-0.7193,8.7815,76.48,86,96,10.13,light rain
369,Fuyang,32.9,115.8167,77.16,39,73,7.99,broken clouds
370,Torbay,47.6666,-52.7314,55.58,86,100,13.8,overcast clouds
